v1	V(n001)	V(n002)	I(D)
-8.080000000000041e+00	-3.134934e-08	-1.347767e+01	-1.348767e-11
-8.070000000000041e+00	-3.134465e-08	-1.347767e+01	-1.348767e-11
-8.060000000000041e+00	-3.133996e-08	-1.347767e+01	-1.348767e-11
-8.050000000000042e+00	-3.133527e-08	-1.347767e+01	-1.348767e-11
-8.040000000000042e+00	-3.133058e-08	-1.347767e+01	-1.348767e-11
-8.030000000000042e+00	-3.132589e-08	-1.347767e+01	-1.348767e-11
-8.020000000000042e+00	-3.132120e-08	-1.347767e+01	-1.348767e-11
-8.010000000000042e+00	-3.131651e-08	-1.347767e+01	-1.348767e-11
-8.000000000000043e+00	-3.131182e-08	-1.347766e+01	-1.348766e-11
-7.990000000000043e+00	-3.130712e-08	-1.347766e+01	-1.348766e-11
-7.980000000000043e+00	-3.130243e-08	-1.347766e+01	-1.348766e-11
-7.970000000000043e+00	-3.129774e-08	-1.347766e+01	-1.348766e-11
-7.960000000000043e+00	-3.129305e-08	-1.347766e+01	-1.348766e-11
-7.950000000000044e+00	-3.128836e-08	-1.347766e+01	-1.348766e-11
-7.940000000000044e+00	-3.128367e-08	-1.347766e+01	-1.348766e-11
-7.930000000000044e+00	-3.127898e-08	-1.347766e+01	-1.348766e-11
-7.920000000000044e+00	-3.127429e-08	-1.347765e+01	-1.348765e-11
-7.910000000000045e+00	-3.126960e-08	-1.347765e+01	-1.348765e-11
-7.900000000000045e+00	-3.126491e-08	-1.347765e+01	-1.348765e-11
-7.890000000000045e+00	-3.126022e-08	-1.347765e+01	-1.348765e-11
-7.880000000000045e+00	-3.125553e-08	-1.347765e+01	-1.348765e-11
-7.870000000000045e+00	-3.125083e-08	-1.347765e+01	-1.348765e-11
-7.860000000000046e+00	-3.124615e-08	-1.347765e+01	-1.348765e-11
-7.850000000000046e+00	-3.124146e-08	-1.347765e+01	-1.348765e-11
-7.840000000000046e+00	-3.123676e-08	-1.347764e+01	-1.348764e-11
-7.830000000000046e+00	-3.123207e-08	-1.347764e+01	-1.348764e-11
-7.820000000000046e+00	-3.122738e-08	-1.347764e+01	-1.348764e-11
-7.810000000000047e+00	-3.122269e-08	-1.347764e+01	-1.348764e-11
-7.800000000000047e+00	-3.121800e-08	-1.347764e+01	-1.348764e-11
-7.790000000000047e+00	-3.121331e-08	-1.347764e+01	-1.348764e-11
-7.780000000000047e+00	-3.120862e-08	-1.347764e+01	-1.348764e-11
-7.770000000000048e+00	-3.120393e-08	-1.347764e+01	-1.348764e-11
-7.760000000000048e+00	-3.119924e-08	-1.347763e+01	-1.348763e-11
-7.750000000000048e+00	-3.119455e-08	-1.347763e+01	-1.348763e-11
-7.740000000000048e+00	-3.118986e-08	-1.347763e+01	-1.348763e-11
-7.730000000000048e+00	-3.118516e-08	-1.347763e+01	-1.348763e-11
-7.720000000000049e+00	-3.118047e-08	-1.347763e+01	-1.348763e-11
-7.710000000000049e+00	-3.117578e-08	-1.347763e+01	-1.348763e-11
-7.700000000000049e+00	-3.117109e-08	-1.347763e+01	-1.348763e-11
-7.690000000000049e+00	-3.116640e-08	-1.347763e+01	-1.348763e-11
-7.680000000000049e+00	-3.116171e-08	-1.347762e+01	-1.348763e-11
-7.670000000000050e+00	-3.115702e-08	-1.347762e+01	-1.348762e-11
-7.660000000000050e+00	-3.115233e-08	-1.347762e+01	-1.348762e-11
-7.650000000000050e+00	-3.114764e-08	-1.347762e+01	-1.348762e-11
-7.640000000000050e+00	-3.114295e-08	-1.347762e+01	-1.348762e-11
-7.630000000000051e+00	-3.113826e-08	-1.347762e+01	-1.348762e-11
-7.620000000000051e+00	-3.113357e-08	-1.347762e+01	-1.348762e-11
-7.610000000000051e+00	-3.112887e-08	-1.347762e+01	-1.348762e-11
-7.600000000000051e+00	-3.112418e-08	-1.347762e+01	-1.348761e-11
-7.590000000000051e+00	-3.111949e-08	-1.347761e+01	-1.348761e-11
-7.580000000000052e+00	-3.111480e-08	-1.347761e+01	-1.348761e-11
-7.570000000000052e+00	-3.111011e-08	-1.347761e+01	-1.348761e-11
-7.560000000000052e+00	-3.110542e-08	-1.347761e+01	-1.348761e-11
-7.550000000000052e+00	-3.110073e-08	-1.347761e+01	-1.348761e-11
-7.540000000000052e+00	-3.109604e-08	-1.347761e+01	-1.348761e-11
-7.530000000000053e+00	-3.109135e-08	-1.347761e+01	-1.348761e-11
-7.520000000000053e+00	-3.108666e-08	-1.347760e+01	-1.348761e-11
-7.510000000000053e+00	-3.108197e-08	-1.347760e+01	-1.348760e-11
-7.500000000000053e+00	-3.107728e-08	-1.347760e+01	-1.348760e-11
-7.490000000000054e+00	-3.107258e-08	-1.347760e+01	-1.348760e-11
-7.480000000000054e+00	-3.106789e-08	-1.347760e+01	-1.348760e-11
-7.470000000000054e+00	-3.106321e-08	-1.347760e+01	-1.348760e-11
-7.460000000000054e+00	-3.105851e-08	-1.347760e+01	-1.348760e-11
-7.450000000000054e+00	-3.105382e-08	-1.347760e+01	-1.348760e-11
-7.440000000000055e+00	-3.104913e-08	-1.347760e+01	-1.348760e-11
-7.430000000000055e+00	-3.104444e-08	-1.347759e+01	-1.348759e-11
-7.420000000000055e+00	-3.103975e-08	-1.347759e+01	-1.348759e-11
-7.410000000000055e+00	-3.103506e-08	-1.347759e+01	-1.348759e-11
-7.400000000000055e+00	-3.103037e-08	-1.347759e+01	-1.348759e-11
-7.390000000000056e+00	-3.102568e-08	-1.347759e+01	-1.348759e-11
-7.380000000000056e+00	-3.102098e-08	-1.347759e+01	-1.348759e-11
-7.370000000000056e+00	-3.101630e-08	-1.347759e+01	-1.348759e-11
-7.360000000000056e+00	-3.101161e-08	-1.347759e+01	-1.348759e-11
-7.350000000000056e+00	-3.100691e-08	-1.347758e+01	-1.348758e-11
-7.340000000000057e+00	-3.100222e-08	-1.347758e+01	-1.348758e-11
-7.330000000000057e+00	-3.099753e-08	-1.347758e+01	-1.348758e-11
-7.320000000000057e+00	-3.099284e-08	-1.347758e+01	-1.348758e-11
-7.310000000000057e+00	-3.098815e-08	-1.347758e+01	-1.348758e-11
-7.300000000000058e+00	-3.098346e-08	-1.347758e+01	-1.348758e-11
-7.290000000000058e+00	-3.097877e-08	-1.347758e+01	-1.348758e-11
-7.280000000000058e+00	-3.097408e-08	-1.347758e+01	-1.348758e-11
-7.270000000000058e+00	-3.096939e-08	-1.347757e+01	-1.348757e-11
-7.260000000000058e+00	-3.096470e-08	-1.347757e+01	-1.348757e-11
-7.250000000000059e+00	-3.096001e-08	-1.347757e+01	-1.348757e-11
-7.240000000000059e+00	-3.095532e-08	-1.347757e+01	-1.348757e-11
-7.230000000000059e+00	-3.095062e-08	-1.347757e+01	-1.348757e-11
-7.220000000000059e+00	-3.094593e-08	-1.347757e+01	-1.348757e-11
-7.210000000000059e+00	-3.094124e-08	-1.347757e+01	-1.348757e-11
-7.200000000000060e+00	-3.093655e-08	-1.347757e+01	-1.348757e-11
-7.190000000000060e+00	-3.093186e-08	-1.347756e+01	-1.348756e-11
-7.180000000000060e+00	-3.092717e-08	-1.347756e+01	-1.348756e-11
-7.170000000000060e+00	-3.092248e-08	-1.347756e+01	-1.348756e-11
-7.160000000000061e+00	-3.091779e-08	-1.347756e+01	-1.348756e-11
-7.150000000000061e+00	-3.091310e-08	-1.347756e+01	-1.348756e-11
-7.140000000000061e+00	-3.090841e-08	-1.347756e+01	-1.348756e-11
-7.130000000000061e+00	-3.090372e-08	-1.347756e+01	-1.348756e-11
-7.120000000000061e+00	-3.089903e-08	-1.347756e+01	-1.348756e-11
-7.110000000000062e+00	-3.089433e-08	-1.347755e+01	-1.348755e-11
-7.100000000000062e+00	-3.088964e-08	-1.347755e+01	-1.348755e-11
-7.090000000000062e+00	-3.088495e-08	-1.347755e+01	-1.348755e-11
-7.080000000000062e+00	-3.088026e-08	-1.347755e+01	-1.348755e-11
-7.070000000000062e+00	-3.087557e-08	-1.347755e+01	-1.348755e-11
-7.060000000000063e+00	-3.087088e-08	-1.347755e+01	-1.348755e-11
-7.050000000000063e+00	-3.086619e-08	-1.347755e+01	-1.348755e-11
-7.040000000000063e+00	-3.086150e-08	-1.347755e+01	-1.348755e-11
-7.030000000000063e+00	-3.085681e-08	-1.347754e+01	-1.348754e-11
-7.020000000000064e+00	-3.085212e-08	-1.347754e+01	-1.348754e-11
-7.010000000000064e+00	-3.084743e-08	-1.347754e+01	-1.348754e-11
-7.000000000000064e+00	-3.084273e-08	-1.347754e+01	-1.348754e-11
-6.990000000000064e+00	-3.083805e-08	-1.347754e+01	-1.348754e-11
-6.980000000000064e+00	-3.083336e-08	-1.347754e+01	-1.348754e-11
-6.970000000000065e+00	-3.082866e-08	-1.347754e+01	-1.348754e-11
-6.960000000000065e+00	-3.082397e-08	-1.347754e+01	-1.348754e-11
-6.950000000000065e+00	-3.081928e-08	-1.347754e+01	-1.348753e-11
-6.940000000000065e+00	-3.081459e-08	-1.347753e+01	-1.348753e-11
-6.930000000000065e+00	-3.080990e-08	-1.347753e+01	-1.348753e-11
-6.920000000000066e+00	-3.080521e-08	-1.347753e+01	-1.348753e-11
-6.910000000000066e+00	-3.080052e-08	-1.347753e+01	-1.348753e-11
-6.900000000000066e+00	-3.079583e-08	-1.347753e+01	-1.348753e-11
-6.890000000000066e+00	-3.079114e-08	-1.347753e+01	-1.348753e-11
-6.880000000000067e+00	-3.078645e-08	-1.347753e+01	-1.348753e-11
-6.870000000000067e+00	-3.078176e-08	-1.347752e+01	-1.348753e-11
-6.860000000000067e+00	-3.077707e-08	-1.347752e+01	-1.348752e-11
-6.850000000000067e+00	-3.077237e-08	-1.347752e+01	-1.348752e-11
-6.840000000000067e+00	-3.076768e-08	-1.347752e+01	-1.348752e-11
-6.830000000000068e+00	-3.076299e-08	-1.347752e+01	-1.348752e-11
-6.820000000000068e+00	-3.075830e-08	-1.347752e+01	-1.348752e-11
-6.810000000000068e+00	-3.075361e-08	-1.347752e+01	-1.348752e-11
-6.800000000000068e+00	-3.074892e-08	-1.347752e+01	-1.348752e-11
